cve_periodo,cve_periodo_alta,dat_fecha_disposicion,dat_fecha_vencimiento,dat_monto_credito_dispuesto,dat_responsabilidad_total,dat_saldo_princ_inicio,dat_saldo_princ_fin,dat_monto_pago_exigible_acred,dat_monto_pagado_efec_acred,dat_monto_intereses_pagados,dat_tasa_bruta_periodo,dat_num_vencidos,cve_situacion_credito,id_disposicion,ventana
200911,200906,200905,201002,0,4251804,4251804,4269255,4252384,0,0,10.92,0,1,304007220050CS960311FT3000_328,-3
200912,200906,200905,201002,0,4269255,4269255,4287383,4269839,0,0,10.93,0,1,304007220050CS960311FT3000_328,-2
201001,200906,200905,201002,0,4287383,4287383,4305587,4287971,0,0,10.93,0,1,304007220050CS960311FT3000_328,-1
201002,200906,200905,201002,0,4305587,4305587,0,4306176,4320855,15268,10.91,0,2,304007220050CS960311FT3000_328,0
200909,200906,200906,201108,0,845112,838401,807090,38261,38279,6951,10.29,0,1,304007220050HS980605BR5000_333,-5
200910,200906,200906,201108,0,813780,807090,775254,38757,38757,6920,10.29,0,1,304007220050HS980605BR5000_333,-4
200911,200906,200906,201108,0,781916,775254,743365,38773,39217,7328,10.31,0,1,304007220050HS980605BR5000_333,-3
200912,200906,200906,201108,0,749122,743365,710964,38371,38390,5970,10.33,0,1,304007220050HS980605BR5000_333,-2
201001,200906,200906,201108,0,717083,710964,678485,38802,39414,6935,10.33,0,1,304007220050HS980605BR5000_333,-1
201002,200906,200906,201108,0,683739,678485,645708,38225,38439,5643,10.31,0,1,304007220050HS980605BR5000_333,0
201003,200906,200906,201108,0,650516,645708,612058,38643,38663,4993,10.32,0,1,304007220050HS980605BR5000_333,1
201004,200906,200906,201108,0,617319,612058,578672,38177,39525,5025,10.32,0,1,304007220050HS980605BR5000_333,2
201005,200906,200906,201108,0,582819,578672,544808,38539,38509,4878,10.34,0,1,304007220050HS980605BR5000_333,3
201006,200906,200906,201108,0,549188,544808,510806,38870,38539,4414,10.35,0,1,304007220050HS980605BR5000_333,4
201007,200906,200906,201108,0,515063,510806,476340,38870,38870,4250,10.34,0,1,304007220050HS980605BR5000_333,5
201008,200906,200906,201108,0,480443,476340,441710,38747,39007,3946,10.32,0,1,304007220050HS980605BR5000_333,6
201009,200906,200906,201108,0,445382,441710,406762,38882,38787,3503,10.31,0,1,304007220050HS980605BR5000_333,7
201010,200906,200906,201108,0,410138,406762,371373,38888,38882,3305,10.3,0,1,304007220050HS980605BR5000_333,8
201011,200906,200906,201108,0,374561,371373,335780,38893,38928,2884,10.27,0,1,304007220050HS980605BR5000_333,9
201012,200906,200906,201108,0,338557,335780,299761,38901,38934,2661,10.27,0,1,304007220050HS980605BR5000_333,10
201101,200906,200906,201108,0,302326,299761,263511,38766,39092,2365,10.29,0,1,304007220050HS980605BR5000_333,11
201103,200906,200906,201108,0,265619,226928,189809,38932,38951,1684,10.24,0,1,304007220050HS980605BR5000_333,13
201104,200906,200906,201108,0,191429,189809,152551,38946,38932,1312,10.24,0,1,304007220050HS980605BR5000_333,14
201105,200906,200906,201108,0,153809,152551,114906,38926,38990,1035,10.25,0,1,304007220050HS980605BR5000_333,15
201106,200906,200906,201108,0,115854,114906,76961,38973,38926,668,10.25,0,1,304007220050HS980605BR5000_333,16
201107,200906,200906,201108,0,77596,76961,38645,38985,38973,352,10.24,0,1,304007220050HS980605BR5000_333,17
201108,200906,200906,201108,0,38974,38645,0,38985,38985,11,10.24,0,1,304007220050HS980605BR5000_333,18
200909,200906,200906,201005,0,93050,92311,82433,10643,10649,765,10.29,0,1,304007220050HS980605BR5001_333,-5
200910,200906,200906,201005,0,83116,82433,72440,10700,10700,707,10.29,0,1,304007220050HS980605BR5001_333,-4
200911,200906,200906,201005,0,73062,72440,62380,10703,10745,685,10.31,0,1,304007220050HS980605BR5001_333,-3
200912,200906,200906,201005,0,62863,62380,52209,10672,10678,501,10.33,0,1,304007220050HS980605BR5001_333,-2
201001,200906,200906,201005,0,52658,52209,41963,10710,10755,509,10.33,0,1,304007220050HS980605BR5001_333,-1
201002,200906,200906,201005,0,42288,41963,31623,10677,10695,349,10.31,0,1,304007220050HS980605BR5001_333,0
201003,200906,200906,201005,0,31859,31623,21161,10707,10713,245,10.32,0,1,304007220050HS980605BR5001_333,1
201004,200906,200906,201005,0,21343,21161,10630,10709,10743,107,10.32,0,1,304007220050HS980605BR5001_333,2
201005,200906,200906,201005,0,10706,10630,0,10716,10716,9,10.32,0,1,304007220050HS980605BR5001_333,3
200909,200906,200906,201008,0,134248,133182,122645,11642,11648,1104,10.29,0,1,304007220050HS980605BR5002_333,-5
200910,200906,200906,201008,0,123661,122645,111974,11722,11722,1052,10.29,0,1,304007220050HS980605BR5002_333,-4
200911,200906,200906,201008,0,112937,111974,101243,11726,11790,1058,10.31,0,1,304007220050HS980605BR5002_333,-3
200912,200906,200906,201008,0,102027,101243,90382,11673,11680,813,10.33,0,1,304007220050HS980605BR5002_333,-2
201001,200906,200906,201008,0,91160,90382,79452,11734,11812,882,10.33,0,1,304007220050HS980605BR5002_333,-1
201002,200906,200906,201008,0,80068,79452,68422,11668,11697,661,10.31,0,1,304007220050HS980605BR5002_333,0
201003,200906,200906,201008,0,68932,68422,57230,11721,11728,529,10.32,0,1,304007220050HS980605BR5002_333,1
201004,200906,200906,201008,0,57722,57230,45996,11693,11808,412,10.32,0,1,304007220050HS980605BR5002_333,2
201005,200906,200906,201008,0,46326,45996,34646,11730,11720,318,10.34,0,1,304007220050HS980605BR5002_333,3
201006,200906,200906,201008,0,34924,34646,23205,11753,11730,203,10.35,0,1,304007220050HS980605BR5002_333,4
201007,200906,200906,201008,0,23398,23205,11652,11756,11753,107,10.34,0,1,304007220050HS980605BR5002_333,5
201008,200906,200906,201008,0,11752,11652,0,11759,11759,7,10.34,0,1,304007220050HS980605BR5002_333,6
200909,200908,200908,201408,7000000,7007302,7000000,6883400,125727,151283,34683,9.39,0,1,304007220050CD9801271G2000_341,-5
200910,200908,200908,201408,0,6910350,6883400,6766800,145347,170509,53900,9.4,0,1,304007220050CD9801271G2000_341,-4
200911,200908,200908,201408,0,6795146,6766800,6650200,146718,171521,54921,9.43,0,1,304007220050CD9801271G2000_341,-3
200912,200908,200908,201408,0,6676320,6650200,6533600,144461,168901,52240,9.43,0,1,304007220050CD9801271G2000_341,-2
201001,200908,200908,201408,0,6560995,6533600,6417000,145707,169678,53078,9.43,0,1,304007220050CD9801271G2000_341,-1
201002,200908,200908,201408,0,6443874,6417000,6300400,145153,168667,52067,9.4,0,1,304007220050CD9801271G2000_341,0
201003,200908,200908,201408,0,6321777,6300400,6183800,139621,162642,46042,9.43,0,1,304007220050CD9801271G2000_341,1
201004,200908,200908,201408,0,6209714,6183800,6067200,142013,166814,48125,9.42,0,1,304007220050CD9801271G2000_341,2
201005,200908,200908,201408,0,6091025,6067200,5950600,143126,164250,48790,9.44,0,1,304007220050CD9801271G2000_341,3
201006,200908,200908,201408,0,5975565,5950600,5834000,141087,164975,46367,9.44,0,1,304007220050CD9801271G2000_341,4
201007,200908,200908,201408,0,5856957,5834000,5717400,142069,162514,46928,9.43,0,1,304007220050CD9801271G2000_341,5
201008,200908,200908,201408,0,5741371,5717400,5600800,141496,163044,45904,9.41,0,1,304007220050CD9801271G2000_341,6
